exposed_date,exposed_hour,expose_cnt,watch_cnt,like_cnt,comment_cnt,avg_watch_time,watch_rate_avg
20220919,0,3158,2979,27,0,46.68,0.5269
20220919,1,3423,3256,37,9,41.72,0.4404
20220919,2,3390,3271,62,10,37.87,0.4565
20220919,3,4054,3835,57,0,39.11,0.4435
20220919,4,4843,4529,84,27,42.23,0.4669
20220919,5,4776,4517,80,3,47.1,0.4845
20220919,6,3972,3781,51,0,42.26,0.4507
20220919,7,4025,3782,43,0,42.12,0.4402
20220919,8,4899,4653,110,27,36.58,0.4363
20220919,9,4839,4613,52,2,34.68,0.4387
20220919,10,6166,5666,89,24,37.17,0.4526
20220919,11,8838,8259,87,21,43.27,0.4589
20220919,12,9008,8632,108,11,44.96,0.4772
20220919,13,8351,7930,112,5,36.12,0.4391
20220919,14,6617,6285,85,26,36.87,0.4473
20220919,15,3577,3376,60,0,38.82,0.4867
20220919,17,226,193,0,0,37.67,0.4378
20220919,18,899,831,6,0,39.66,0.4506
20220919,19,677,640,2,0,39.63,0.4292
20220919,20,940,847,20,0,44.07,0.4574
20220919,21,1760,1672,18,0,44.61,0.4819
20220919,22,3046,2776,31,20,34.34,0.4538
20220919,23,2856,2653,84,10,43.27,0.466
20220920,0,2756,2559,83,13,47.39,0.4637
20220920,1,3314,3095,97,11,42.22,0.4195
20220920,2,4440,4186,115,13,41.52,0.4077
20220920,3,4884,4630,121,8,42.69,0.4709
20220920,4,5829,5504,173,12,44.65,0.4808
20220920,5,5410,5117,79,5,41.5,0.4694
20220920,6,4759,4510,88,0,39.93,0.4627
20220920,7,4233,3971,64,0,40.1,0.4671
20220920,8,5042,4805,65,15,39.06,0.4751
20220920,9,5788,5526,178,0,35.85,0.4662
20220920,10,6761,6377,140,9,34.8,0.4869
20220920,11,6959,6557,111,18,39.69,0.4694
20220920,12,8370,7877,175,15,40.04,0.4522
20220920,13,8575,7991,204,3,33.62,0.4115
20220920,14,5269,4904,75,9,37.45,0.4261
20220920,15,3425,3198,43,0,30.62,0.378
20220920,17,70,70,0,0,50.26,0.4741
20220920,18,539,479,0,0,25.96,0.43
20220920,19,626,582,3,3,37.72,0.4314
20220920,20,780,700,10,0,56.98,0.4675
20220920,21,1720,1564,23,0,44.62,0.5342
20220920,22,1952,1805,50,8,37.65,0.459
20220920,23,2494,2293,77,5,45.76,0.4317
20220921,0,2378,2206,31,6,41.69,0.4292
20220921,1,3027,2854,77,25,33.26,0.4131
20220921,2,3370,3100,65,0,37.28,0.4368
20220921,3,4196,3909,69,19,35.77,0.4074
20220921,4,4500,4167,124,15,40.99,0.4735
20220921,5,4443,4160,91,0,34.68,0.4386
20220921,6,3134,2990,52,0,36.26,0.4128
20220921,7,3248,3065,49,9,42.0,0.3847
20220921,8,3013,2783,34,9,42.72,0.4629
20220921,9,4134,3957,75,0,36.97,0.4609
20220921,10,4744,4502,40,0,39.5,0.442
20220921,11,5808,5437,117,12,39.07,0.4502
20220921,12,6724,6387,137,21,35.89,0.4523
20220921,13,6258,5925,130,16,40.68,0.4819
20220921,14,4929,4595,75,17,32.0,0.4204
20220921,15,2234,2140,49,6,39.52,0.4211
20220921,17,109,94,4,0,32.61,0.3921
20220921,18,692,668,15,12,40.46,0.4004
20220921,19,527,482,0,0,40.22,0.426
20220921,20,611,580,0,3,41.41,0.4793
20220921,21,1279,1204,11,0,40.45,0.5575
20220921,22,2044,1867,30,21,50.05,0.5011
20220921,23,2212,2063,60,6,41.64,0.433
20220922,0,2033,1883,27,0,37.75,0.4571
20220922,1,2900,2765,25,0,36.2,0.4695
20220922,2,3473,3248,46,4,41.2,0.4794
20220922,3,3042,2790,73,3,43.43,0.4907
20220922,4,4030,3790,116,9,40.79,0.4186
20220922,5,4121,3898,128,1,33.37,0.4024
20220922,6,2848,2737,78,8,43.35,0.4387
20220922,7,3190,3025,33,0,31.99,0.3672
20220922,8,3051,2876,34,13,38.45,0.3891
20220922,9,3698,3394,92,0,36.86,0.4125
20220922,10,4102,3743,83,6,37.1,0.4214
20220922,11,5052,4703,144,0,37.02,0.4129
20220922,12,6055,5624,113,10,40.52,0.4564
20220922,13,5860,5596,112,3,39.26,0.4506
20220922,14,4225,3942,103,3,36.56,0.4505
20220922,15,2154,2052,40,0,42.05,0.4643
