category_id,exposed_date,expose_cnt,video_cnt,user_cnt,watch_time_sum,watch_rate_avg,like_cnt,click_cnt,comment_cnt,follow_cnt,collect_cnt,forward_cnt,hate_cnt,like_rate,click_rate,comment_rate,follow_rate,collect_rate,forward_rate,hate_rate
9,20220919,4776,1100,1162,214112,0.530754329754975,72,3144,12,24,30,10,0,0.0151,0.6583,0.0025,0.005,0.0063,0.0021,0.0
9,20220920,4799,998,1126,213925,0.5366396735951448,118,3183,9,32,31,6,3,0.0246,0.6633,0.0019,0.0067,0.0065,0.0013,0.0006
9,20220921,3543,877,941,151464,0.5492575509042389,93,2375,9,20,21,10,10,0.0262,0.6703,0.0025,0.0056,0.0059,0.0028,0.0028
9,20220922,2961,771,795,117662,0.49213131339420324,75,1855,1,14,22,6,2,0.0253,0.6265,0.0003,0.0047,0.0074,0.002,0.0007
10,20220915,124,30,40,3204,0.4654572205919833,0,63,0,0,0,0,0,0.0,0.5081,0.0,0.0,0.0,0.0,0.0
10,20220916,910,129,293,17810,0.3585703299504664,23,380,0,3,0,3,0,0.0253,0.4176,0.0,0.0033,0.0,0.0033,0.0
10,20220917,908,124,293,26080,0.38210829690216264,9,441,0,0,3,0,0,0.0099,0.4857,0.0,0.0,0.0033,0.0,0.0
10,20220918,629,105,220,13696,0.3039028791787543,8,257,0,3,7,1,0,0.0127,0.4086,0.0,0.0048,0.0111,0.0016,0.0
10,20220919,568,98,199,12987,0.3864329231457294,6,241,0,2,0,0,0,0.0106,0.4243,0.0,0.0035,0.0,0.0,0.0
10,20220920,462,82,158,14039,0.40952620357996,0,250,0,0,0,0,0,0.0,0.5411,0.0,0.0,0.0,0.0,0.0
10,20220921,430,77,156,9013,0.3193784986208743,3,187,0,0,0,0,0,0.007,0.4349,0.0,0.0,0.0,0.0,0.0
10,20220922,435,76,153,10655,0.41748958456512103,6,227,0,6,6,3,0,0.0138,0.5218,0.0,0.0138,0.0138,0.0069,0.0
11,20220915,336,112,111,13412,0.5235725800118387,7,182,0,0,1,2,2,0.0208,0.5417,0.0,0.0,0.003,0.006,0.006
11,20220916,3742,784,962,118327,0.5553254183026708,70,2273,16,15,13,9,3,0.0187,0.6074,0.0043,0.004,0.0035,0.0024,0.0008
11,20220917,3728,803,994,115570,0.5586669137380663,58,2263,12,15,8,9,1,0.0156,0.607,0.0032,0.004,0.0021,0.0024,0.0003
11,20220918,3485,753,903,104983,0.5316334168326655,60,2061,6,19,12,3,4,0.0172,0.5914,0.0017,0.0055,0.0034,0.0009,0.0011
11,20220919,2793,658,735,85173,0.5622810908563189,27,1696,11,8,9,6,0,0.0097,0.6072,0.0039,0.0029,0.0032,0.0021,0.0
11,20220920,2778,620,748,82813,0.5479891589760276,38,1563,10,14,6,8,0,0.0137,0.5626,0.0036,0.005,0.0022,0.0029,0.0
11,20220921,1926,460,583,61595,0.5076248387861976,42,1070,7,9,10,0,0,0.0218,0.5556,0.0036,0.0047,0.0052,0.0,0.0
11,20220922,1732,422,517,49380,0.5241603512551448,40,979,8,6,10,1,2,0.0231,0.5652,0.0046,0.0035,0.0058,0.0006,0.0012
12,20220915,278,88,84,10542,0.3575707243119891,3,133,0,3,0,0,0,0.0108,0.4784,0.0,0.0108,0.0,0.0,0.0
12,20220916,4255,865,978,136502,0.4728997246223317,46,2474,10,9,15,15,11,0.0108,0.5814,0.0024,0.0021,0.0035,0.0035,0.0026
12,20220917,4408,885,966,139632,0.4640205752406076,83,2593,3,14,11,6,0,0.0188,0.5882,0.0007,0.0032,0.0025,0.0014,0.0
12,20220918,4524,853,1022,127466,0.44347994689726977,59,2544,4,10,9,6,3,0.013,0.5623,0.0009,0.0022,0.002,0.0013,0.0007
12,20220919,3023,664,757,87075,0.430540003276998,44,1546,0,10,6,12,0,0.0146,0.5114,0.0,0.0033,0.002,0.004,0.0
12,20220920,2672,585,670,79288,0.44393584246418105,40,1406,3,11,13,2,0,0.015,0.5262,0.0011,0.0041,0.0049,0.0007,0.0
12,20220921,2224,507,614,75847,0.4390811041270046,29,1246,3,9,0,9,3,0.013,0.5603,0.0013,0.004,0.0,0.004,0.0013
12,20220922,1987,450,558,66058,0.4331564286943708,32,1059,0,6,2,8,9,0.0161,0.533,0.0,0.003,0.001,0.004,0.0045
13,20220915,180,54,66,9440,0.5919824470173888,0,126,0,0,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
13,20220916,1564,312,451,48525,0.5286556041855075,39,926,1,18,6,3,0,0.0249,0.5921,0.0006,0.0115,0.0038,0.0019,0.0
13,20220917,1354,270,436,36787,0.49750796742014236,24,754,3,6,16,0,0,0.0177,0.5569,0.0022,0.0044,0.0118,0.0,0.0
13,20220918,1403,312,399,41995,0.5327866793027555,28,850,7,2,3,6,0,0.02,0.6058,0.005,0.0014,0.0021,0.0043,0.0
13,20220919,1402,294,417,37829,0.5321741609362723,12,772,0,2,8,4,0,0.0086,0.5506,0.0,0.0014,0.0057,0.0029,0.0
13,20220920,1387,266,394,39185,0.5551236259923065,12,852,0,16,10,8,4,0.0087,0.6143,0.0,0.0115,0.0072,0.0058,0.0029
13,20220921,897,195,291,26965,0.5063426975440506,16,495,5,7,3,1,0,0.0178,0.5518,0.0056,0.0078,0.0033,0.0011,0.0
13,20220922,654,153,208,17795,0.473205290315583,8,350,2,9,5,0,0,0.0122,0.5352,0.0031,0.0138,0.0076,0.0,0.0
14,20220915,22,9,9,272,0.4530202758388699,0,13,0,0,0,0,0,0.0,0.5909,0.0,0.0,0.0,0.0,0.0
14,20220916,267,66,103,6759,0.6883910412463071,3,189,1,0,3,3,0,0.0112,0.7079,0.0037,0.0,0.0112,0.0112,0.0
14,20220917,321,81,122,7649,0.5655716885346214,8,179,0,3,3,0,0,0.0249,0.5576,0.0,0.0093,0.0093,0.0,0.0
14,20220918,310,73,115,7674,0.5389834778427888,18,187,0,1,4,0,0,0.0581,0.6032,0.0,0.0032,0.0129,0.0,0.0
14,20220919,212,53,68,6231,0.6458077719866994,3,140,0,0,3,0,0,0.0142,0.6604,0.0,0.0,0.0142,0.0,0.0
14,20220920,357,51,122,6592,0.6710530601637155,3,232,0,0,2,0,0,0.0084,0.6499,0.0,0.0,0.0056,0.0,0.0
14,20220921,237,44,78,5518,0.5772501773484778,4,131,0,0,3,0,0,0.0169,0.5527,0.0,0.0,0.0127,0.0,0.0
14,20220922,195,46,68,4869,0.6118042514614809,9,127,0,3,0,0,0,0.0462,0.6513,0.0,0.0154,0.0,0.0,0.0
15,20220915,135,46,50,4128,0.4152772749922307,0,83,0,0,0,0,0,0.0,0.6148,0.0,0.0,0.0,0.0,0.0
15,20220916,1813,354,540,50811,0.5198437032677709,32,1090,3,8,3,6,6,0.0177,0.6012,0.0017,0.0044,0.0017,0.0033,0.0033
15,20220917,1961,389,575,60926,0.49277706132438887,35,1189,9,16,20,4,3,0.0178,0.6063,0.0046,0.0082,0.0102,0.002,0.0015
15,20220918,1899,368,546,53879,0.5420021458794316,39,1208,5,7,22,1,1,0.0205,0.6361,0.0026,0.0037,0.0116,0.0005,0.0005
15,20220919,1198,276,362,38377,0.5246272018676821,18,730,4,4,3,0,0,0.015,0.6093,0.0033,0.0033,0.0025,0.0,0.0
15,20220920,1379,310,399,42259,0.4858830857180355,13,811,0,2,0,0,3,0.0094,0.5881,0.0,0.0015,0.0,0.0,0.0022
15,20220921,1106,236,348,29062,0.5050374740317991,15,610,0,3,2,0,3,0.0136,0.5515,0.0,0.0027,0.0018,0.0,0.0027
15,20220922,903,205,300,24920,0.4572208060255795,22,502,0,7,5,6,0,0.0244,0.5559,0.0,0.0078,0.0055,0.0066,0.0
16,20220915,107,36,38,3668,0.5070743947410079,6,68,0,0,3,0,0,0.0561,0.6355,0.0,0.0,0.028,0.0,0.0
16,20220916,738,159,218,18923,0.4849555909149393,5,401,0,0,0,9,0,0.0068,0.5434,0.0,0.0,0.0,0.0122,0.0
16,20220917,664,156,214,12427,0.5106092452212604,11,373,0,0,0,3,0,0.0166,0.5617,0.0,0.0,0.0,0.0045,0.0
16,20220918,815,168,235,18444,0.5093678118532671,11,479,0,3,3,3,0,0.0135,0.5877,0.0,0.0037,0.0037,0.0037,0.0
16,20220919,787,151,224,17542,0.5104261872640056,3,454,0,6,9,9,0,0.0038,0.5769,0.0,0.0076,0.0114,0.0114,0.0
16,20220920,998,163,282,26943,0.4879091887627512,12,530,0,3,6,0,0,0.012,0.5311,0.0,0.003,0.006,0.0,0.0
16,20220921,534,131,161,12258,0.39479861932370763,6,266,0,3,3,0,0,0.0112,0.4981,0.0,0.0056,0.0056,0.0,0.0
16,20220922,546,121,175,12052,0.4062533344910341,2,248,0,0,1,0,0,0.0037,0.4542,0.0,0.0,0.0018,0.0,0.0
17,20220915,119,36,44,4444,0.6212475712063377,3,83,0,0,0,0,0,0.0252,0.6975,0.0,0.0,0.0,0.0,0.0
17,20220916,1112,256,370,37249,0.5471444508899334,30,688,3,0,9,0,0,0.027,0.6187,0.0027,0.0,0.0081,0.0,0.0
17,20220917,1225,273,376,39822,0.5409518642655726,30,766,4,1,8,0,0,0.0245,0.6253,0.0033,0.0008,0.0065,0.0,0.0
17,20220918,1248,247,383,33060,0.608440647928662,46,792,0,3,3,0,0,0.0369,0.6346,0.0,0.0024,0.0024,0.0,0.0
17,20220919,980,227,303,33498,0.48948591740995423,12,570,1,8,3,3,0,0.0122,0.5816,0.001,0.0082,0.0031,0.0031,0.0
17,20220920,1102,230,332,35972,0.5248075178713062,13,678,2,2,5,6,0,0.0118,0.6152,0.0018,0.0018,0.0045,0.0054,0.0
17,20220921,917,205,305,29851,0.5328239590585094,26,560,2,5,7,1,0,0.0284,0.6107,0.0022,0.0055,0.0076,0.0011,0.0
17,20220922,752,171,254,29584,0.5549912886526299,29,504,3,0,8,6,0,0.0386,0.6702,0.004,0.0,0.0106,0.008,0.0
18,20220915,124,34,49,2900,0.46676757413679254,4,74,0,0,0,0,0,0.0323,0.5968,0.0,0.0,0.0,0.0,0.0
18,20220916,1760,279,630,44419,0.46694975695136715,10,991,0,0,4,31,3,0.0057,0.5631,0.0,0.0,0.0023,0.0176,0.0017
18,20220917,1040,238,320,29707,0.5590818769843962,10,647,0,4,3,3,0,0.0096,0.6221,0.0,0.0038,0.0029,0.0029,0.0
18,20220918,934,239,288,27439,0.4921315082994354,9,521,0,0,1,3,1,0.0096,0.5578,0.0,0.0,0.0011,0.0032,0.0011
18,20220919,862,215,278,26523,0.496274820996988,14,456,2,3,1,0,0,0.0162,0.529,0.0023,0.0035,0.0012,0.0,0.0
18,20220920,841,186,267,21006,0.4983914802441356,9,449,0,2,3,0,0,0.0107,0.5339,0.0,0.0024,0.0036,0.0,0.0
18,20220921,610,156,219,14535,0.490386055721795,1,314,0,0,0,0,0,0.0016,0.5148,0.0,0.0,0.0,0.0,0.0
18,20220922,495,132,188,12575,0.5473230338317474,13,293,0,0,3,0,0,0.0263,0.5919,0.0,0.0,0.0061,0.0,0.0
19,20220915,235,81,85,9465,0.40603463938054285,6,123,0,1,0,6,0,0.0255,0.5234,0.0,0.0043,0.0,0.0255,0.0
19,20220916,1967,407,629,80069,0.4878062617523141,46,1132,8,12,18,6,1,0.0234,0.5755,0.0041,0.0061,0.0092,0.0031,0.0005
19,20220917,1702,355,569,65058,0.4977089793688273,42,1011,8,7,13,4,6,0.0247,0.594,0.0047,0.0041,0.0076,0.0024,0.0035
19,20220918,1709,365,579,73855,0.5128821296176328,43,1050,3,12,8,3,0,0.0252,0.6144,0.0018,0.007,0.0047,0.0018,0.0
19,20220919,1601,322,501,62190,0.49335985245996644,44,971,9,13,11,6,0,0.0275,0.6065,0.0056,0.0081,0.0069,0.0037,0.0
19,20220920,1648,353,526,71705,0.5297491696326261,68,1028,10,14,11,4,0,0.0413,0.6238,0.0061,0.0085,0.0067,0.0024,0.0
19,20220921,1311,297,449,56147,0.5064552640088631,25,759,1,11,3,10,0,0.0191,0.5789,0.0008,0.0084,0.0023,0.0076,0.0
19,20220922,893,211,307,31067,0.45288690503600415,14,469,0,3,6,0,0,0.0157,0.5252,0.0,0.0034,0.0067,0.0,0.0
20,20220915,88,32,39,3435,0.5898806588098648,3,60,0,0,0,1,0,0.0341,0.6818,0.0,0.0,0.0,0.0114,0.0
20,20220916,1448,342,368,50910,0.5500135371051956,71,1039,4,13,19,3,0,0.049,0.7175,0.0028,0.009,0.0131,0.0021,0.0
20,20220917,1838,405,457,74320,0.5638713756853692,61,1322,12,6,20,6,0,0.0332,0.7193,0.0065,0.0033,0.0109,0.0033,0.0
20,20220918,1548,365,408,63884,0.5426798722938982,61,1054,8,3,17,0,0,0.0394,0.6809,0.0052,0.0019,0.011,0.0,0.0
20,20220919,905,234,246,35380,0.5764801070033246,31,638,14,4,15,3,0,0.0343,0.705,0.0155,0.0044,0.0166,0.0033,0.0
20,20220920,1162,265,306,43301,0.516535812313947,70,751,4,3,19,3,0,0.0602,0.6463,0.0034,0.0026,0.0164,0.0026,0.0
20,20220921,804,223,216,30406,0.5897593478425885,51,599,3,5,12,8,3,0.0634,0.745,0.0037,0.0062,0.0149,0.01,0.0037
20,20220922,685,177,192,22850,0.4783268367251059,27,427,1,4,8,5,4,0.0394,0.6234,0.0015,0.0058,0.0117,0.0073,0.0058
21,20220915,44,7,16,2577,0.2570516856839587,0,30,0,0,0,0,0,0.0,0.6818,0.0,0.0,0.0,0.0,0.0
21,20220916,402,82,127,14005,0.48271780703390815,6,276,0,0,0,0,0,0.0149,0.6866,0.0,0.0,0.0,0.0,0.0
21,20220917,422,80,140,19253,0.4423260201478604,13,261,0,3,4,0,0,0.0308,0.6185,0.0,0.0071,0.0095,0.0,0.0
21,20220918,428,96,143,23585,0.5298659614896363,13,280,3,0,2,3,0,0.0304,0.6542,0.007,0.0,0.0047,0.007,0.0
21,20220919,292,73,107,13167,0.4786099677090822,9,184,0,0,4,0,0,0.0308,0.6301,0.0,0.0,0.0137,0.0,0.0
21,20220920,323,72,104,17153,0.5023938730794474,14,212,3,3,0,3,0,0.0433,0.6563,0.0093,0.0093,0.0,0.0093,0.0
21,20220921,275,56,89,10787,0.40952397253032635,6,178,3,3,0,0,0,0.0218,0.6473,0.0109,0.0109,0.0,0.0,0.0
21,20220922,210,43,75,8456,0.47610190473930075,2,123,0,0,0,0,0,0.0095,0.5857,0.0,0.0,0.0,0.0,0.0
22,20220915,70,20,23,2549,0.4582664827642529,0,45,0,0,0,0,0,0.0,0.6429,0.0,0.0,0.0,0.0,0.0
22,20220916,534,95,157,21156,0.4305777590413062,6,347,0,3,5,0,0,0.0112,0.6498,0.0,0.0056,0.0094,0.0,0.0
22,20220917,549,90,172,28345,0.447552111810985,9,351,0,0,0,0,0,0.0164,0.6393,0.0,0.0,0.0,0.0,0.0
22,20220918,457,95,147,18972,0.4427585762238186,7,279,0,0,2,6,0,0.0153,0.6105,0.0,0.0,0.0044,0.0131,0.0
22,20220919,510,93,149,17440,0.41508403811294003,8,279,0,2,6,3,0,0.0157,0.5471,0.0,0.0039,0.0118,0.0059,0.0
22,20220920,672,92,194,24688,0.41118730859193686,3,395,0,3,0,0,0,0.0045,0.5878,0.0,0.0045,0.0,0.0,0.0
22,20220921,557,92,164,25408,0.4058341918259225,10,340,3,5,2,2,0,0.018,0.6104,0.0054,0.009,0.0036,0.0036,0.0
22,20220922,479,81,148,20910,0.4864071718776531,2,295,3,0,3,3,0,0.0042,0.6159,0.0063,0.0,0.0063,0.0063,0.0
23,20220915,7,3,4,140,0.5463396254689025,0,5,0,0,0,0,0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
23,20220916,79,25,30,3164,0.712428072963293,3,57,3,3,3,3,0,0.038,0.7215,0.038,0.038,0.038,0.038,0.0
23,20220917,47,14,17,811,0.3228899695722763,0,13,0,0,0,0,0,0.0,0.2766,0.0,0.0,0.0,0.0,0.0
23,20220918,98,23,37,1844,0.5733098183350076,5,62,0,1,0,0,0,0.051,0.6327,0.0,0.0102,0.0,0.0,0.0
23,20220919,110,23,44,1962,0.521500139923878,0,55,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
23,20220920,122,23,42,2519,0.5719736569119439,6,68,0,0,0,0,0,0.0492,0.5574,0.0,0.0,0.0,0.0,0.0
23,20220921,54,11,22,1297,0.5605065526110042,2,28,0,0,0,0,0,0.037,0.5185,0.0,0.0,0.0,0.0,0.0
23,20220922,31,9,12,543,0.47187482319587915,3,13,0,0,0,0,0,0.0968,0.4194,0.0,0.0,0.0,0.0,0.0
24,20220915,39,11,14,871,0.46631378458159406,3,25,0,0,0,0,0,0.0769,0.641,0.0,0.0,0.0,0.0,0.0
24,20220916,192,61,71,5140,0.5824706104148074,7,144,3,0,4,0,3,0.0365,0.75,0.0156,0.0,0.0208,0.0,0.0156
24,20220917,264,62,101,6939,0.6285359113112514,5,185,0,2,2,0,0,0.0189,0.7008,0.0,0.0076,0.0076,0.0,0.0
24,20220918,249,72,83,5345,0.473232612769005,7,137,0,3,2,0,0,0.0281,0.5502,0.0,0.012,0.008,0.0,0.0
24,20220919,198,45,71,3536,0.6238745166023221,3,128,0,3,3,2,0,0.0152,0.6465,0.0,0.0152,0.0152,0.0101,0.0
24,20220920,203,51,76,6798,0.6234587838019231,0,138,0,0,0,1,2,0.0,0.6798,0.0,0.0,0.0,0.0049,0.0099
24,20220921,125,33,45,2855,0.5108390297443542,3,66,3,0,0,0,0,0.024,0.528,0.024,0.0,0.0,0.0,0.0
24,20220922,72,23,34,2409,0.5858727416307479,8,47,3,0,2,2,0,0.1111,0.6528,0.0417,0.0,0.0278,0.0278,0.0
25,20220915,193,66,65,6207,0.6013697746987097,9,135,1,3,0,3,0,0.0466,0.6995,0.0052,0.0155,0.0,0.0155,0.0
25,20220916,2308,528,631,73658,0.5849462385172082,41,1543,2,13,21,3,3,0.0178,0.6685,0.0009,0.0056,0.0091,0.0013,0.0013
