gender,age_group,fre_city_level,user_cnt,expose_cnt,avg_watch_time,watch_rate_avg,like_cnt,click_cnt,comment_cnt,follow_cnt,collect_cnt,forward_cnt,like_rate,click_rate,comment_rate,follow_rate,collect_rate,forward_rate
M,25-34,新一线城市,94,9495,36.0,0.44368104535025527,171,5114,45,0,16,0,0.018,0.5386,0.0047,0.0,0.0017,0.0
M,35-44,unknown,1,155,16.95,0.2606558402290354,0,101,0,0,0,0,0.0,0.6516,0.0,0.0,0.0,0.0
M,35-44,一线城市,53,6191,35.59,0.4924097507643581,66,3739,12,19,10,3,0.0107,0.6039,0.0019,0.0031,0.0016,0.0005
M,35-44,三线城市,183,19073,35.41,0.4771202704640408,253,11288,60,81,54,44,0.0133,0.5918,0.0031,0.0042,0.0028,0.0023
M,35-44,二线城市,140,14286,35.58,0.487015841840983,214,8873,10,79,150,13,0.015,0.6211,0.0007,0.0055,0.0105,0.0009
M,35-44,五线城市,168,17954,38.04,0.44748503990559807,304,10530,94,35,129,72,0.0169,0.5865,0.0052,0.0019,0.0072,0.004
M,35-44,四线城市,175,17008,38.27,0.4728027184112149,215,10523,27,15,85,64,0.0126,0.6187,0.0016,0.0009,0.005,0.0038
M,35-44,新一线城市,96,9748,38.91,0.4569137231532285,97,5639,6,25,20,5,0.01,0.5785,0.0006,0.0026,0.0021,0.0005
M,45-54,unknown,1,133,44.47,0.7761449517050898,0,96,0,0,0,0,0.0,0.7218,0.0,0.0,0.0,0.0
M,45-54,一线城市,28,2118,28.48,0.4792450834398834,2,1138,0,3,0,13,0.0009,0.5373,0.0,0.0014,0.0,0.0061
M,45-54,三线城市,139,17457,39.81,0.4665523753819862,212,9961,19,49,36,20,0.0121,0.5706,0.0011,0.0028,0.0021,0.0011
M,45-54,二线城市,103,9508,41.28,0.47314316838171583,177,5828,0,31,52,4,0.0186,0.613,0.0,0.0033,0.0055,0.0004
M,45-54,五线城市,127,11966,37.03,0.45116912514345003,403,6845,9,270,77,11,0.0337,0.572,0.0008,0.0226,0.0064,0.0009
M,45-54,四线城市,143,14549,42.02,0.48930368463464624,173,8739,17,122,83,16,0.0119,0.6007,0.0012,0.0084,0.0057,0.0011
M,45-54,新一线城市,62,6543,40.48,0.4325516787518491,99,3702,13,48,39,2,0.0151,0.5658,0.002,0.0073,0.006,0.0003
M,55+,unknown,2,182,29.24,0.542982356260443,0,111,0,0,0,0,0.0,0.6099,0.0,0.0,0.0,0.0
M,55+,一线城市,51,4069,47.89,0.5159104950694711,104,2492,6,63,35,8,0.0256,0.6124,0.0015,0.0155,0.0086,0.002
M,55+,三线城市,416,35222,47.48,0.5122601321554338,548,21834,21,181,134,124,0.0156,0.6199,0.0006,0.0051,0.0038,0.0035
M,55+,二线城市,228,20815,43.72,0.482212935422549,214,12769,12,94,139,42,0.0103,0.6135,0.0006,0.0045,0.0067,0.002
M,55+,五线城市,378,37274,40.95,0.4710559075248959,657,22064,36,207,130,36,0.0176,0.5919,0.001,0.0056,0.0035,0.001
M,55+,四线城市,438,41966,47.52,0.5223451086495166,482,27135,83,232,147,156,0.0115,0.6466,0.002,0.0055,0.0035,0.0037
M,55+,新一线城市,140,12480,34.41,0.4321756738062397,102,6784,24,37,28,22,0.0082,0.5436,0.0019,0.003,0.0022,0.0018
